node,layer,original_score,new_score,diff(new-origin)
anon_S1225E,0,565.0,565.0,0.0
anon_S354E,0,630.0,630.0,0.0
anon_S3086E,1,721.0,745.0,24.0
anon_S3864E,1,756.0,644.0,-112.0
anon_S3813E,1,695.0,739.0,44.0
anon_S3734E,1,712.0,792.0,80.0
anon_S286E,2,592.0,677.0,85.0
anon_S2130E,1,578.0,601.0,23.0
anon_S2165E,2,544.0,546.0,2.0
anon_S5668E,0,583.0,583.0,0.0
anon_S2502E,2,395.0,808.34,413.34
anon_S508E,1,726.0,961.49,235.49
anon_S2553E,2,625.0,987.34,362.34
anon_S4792E,2,625.0,581.0,-44.0
anon_S4955E,0,575.0,575.0,0.0
anon_S4848E,1,650.0,616.0,-34.0
anon_S5862E,2,510.0,609.0,99.0
anon_S2047E,1,741.0,489.0,-252.0
anon_S3064E,2,-1,808.34,na
anon_S3977E,1,398.0,602.0,204.0
anon_S3013E,1,-1,602.0,na
anon_S4010E,3,-1,688.57,na
anon_S4975E,2,524.0,616.0,92.0
anon_S5068E,2,578.0,591.0,13.0
anon_S3311E,1,636.0,783.81,147.81
anon_S526E,0,698.0,698.0,0.0
anon_S3561E,0,482.0,482.0,0.0
anon_S3951E,1,599.0,783.81,184.81
anon_S3039E,2,446.0,808.34,362.34
anon_S5272E,2,522.0,609.0,87.0
anon_S5755E,2,713.0,609.0,-104.0
anon_S5722E,2,748.0,609.0,-139.0
anon_S5511E,0,-1,-1,na
anon_S668E,0,-1,-1,na
anon_S2842E,3,561.0,1021.67,460.67
anon_S435E,0,613.0,613.0,0.0
anon_S922E,0,739.0,739.0,0.0
anon_S4386E,0,649.0,649.0,0.0
anon_S2495E,2,494.0,987.34,493.34
anon_S4815E,3,601.0,1024.93,423.93
anon_S2477E,2,492.0,987.34,495.34
anon_S781E,0,-1,-1,na
anon_S5485E,5,555.0,1412.43,857.43
anon_S330E,1,569.0,1093.03,524.03
anon_S3151E,2,661.0,915.14,254.14
anon_S3587E,3,731.0,677.0,-54.0
anon_S413E,1,631.0,677.0,46.0
anon_S845E,0,540.0,540.0,0.0
anon_S3642E,1,-1,617.0,na
anon_S810E,0,638.0,638.0,0.0
anon_S5002E,2,535.0,1032.49,497.49
anon_S1382E,0,617.0,617.0,0.0
anon_S4511E,0,486.0,486.0,0.0
anon_S2797E,1,600.0,745.0,145.0
anon_S588E,2,480.0,897.52,417.52
anon_S985E,0,587.0,587.0,0.0
anon_S2021E,1,542.0,681.0,139.0
anon_S4906E,4,498.0,1356.81,858.81
anon_S1051E,0,569.0,569.0,0.0
anon_S2450E,1,434.0,525.0,91.0
anon_S2972E,3,489.0,1252.11,763.11
anon_S4036E,1,-1,642.0,na
anon_S4597E,0,688.0,688.0,0.0
anon_S1813E,1,649.0,647.0,-2.0
anon_S4328E,1,-1,698.0,na
anon_S1580E,3,616.0,811.35,195.35
anon_S3209E,1,540.0,708.0,168.0
anon_S1488E,3,436.0,782.03,346.03
anon_S1401E,0,-1,-1,na
anon_S2779E,1,579.0,792.0,213.0
anon_S2223E,1,676.0,608.0,-68.0
anon_S1828E,1,555.0,636.0,81.0
anon_S2873E,1,487.0,860.96,373.96
anon_S1875E,2,533.0,649.0,116.0
anon_S83E,2,716.0,1083.09,367.09
anon_S1453E,2,547.0,987.34,440.34
anon_S1128E,0,531.0,531.0,0.0
anon_S1683E,3,497.0,900.05,403.05
anon_S4227E,1,-1,623.0,na
anon_S5164E,0,548.0,548.0,0.0
anon_S5131E,7,-1,620.0,na
anon_S5414E,4,658.0,1024.93,366.93
anon_S4025E,1,377.0,860.96,483.96
anon_S1988E,4,491.0,994.61,503.61
anon_S1966E,2,557.0,764.18,207.18
anon_S1239E,0,-1,-1,na
anon_S4464E,1,-1,658.0,na
anon_S3327E,1,428.0,783.81,355.81
anon_S4650E,7,543.0,620.0,77.0
anon_S4095E,2,326.0,921.34,595.34
anon_S2179E,5,616.0,620.0,4.0
anon_S2644E,2,486.0,987.34,501.34
anon_S1753E,5,595.0,620.0,25.0
anon_S6110E,0,456.0,456.0,0.0
anon_S4520E,0,691.0,691.0,0.0
anon_S5794E,2,604.0,897.67,293.67
anon_S1362E,0,693.0,693.0,0.0
anon_S1528E,3,643.0,694.57,51.57
anon_S2153E,5,531.0,620.0,89.0
anon_S2884E,7,509.0,1060.72,551.72
anon_S2182E,3,-1,434.0,na
anon_S5967E,0,778.0,778.0,0.0
anon_S1908E,1,453.0,632.0,179.0
anon_S1206E,0,-1,-1,na
anon_S1761E,1,591.0,642.0,51.0
anon_S3711E,4,682.0,1486.71,804.71
anon_S4127E,4,580.0,440.0,-140.0
anon_S216E,0,589.0,589.0,0.0
anon_S5581E,8,753.0,1178.15,425.15
anon_S5266E,2,544.0,992.38,448.38
anon_S3289E,4,598.0,994.61,396.61
anon_S4887E,0,631.0,631.0,0.0
anon_S4957E,0,527.0,527.0,0.0
anon_S3918E,2,-1,878.4,na
anon_S4585E,2,456.0,816.3,360.3
anon_S2967E,1,541.0,434.0,-107.0
anon_S1622E,2,613.0,649.0,36.0
anon_S5825E,5,534.0,938.14,404.14
anon_S1293E,0,431.0,431.0,0.0
anon_S5023E,0,-1,-1,na
anon_S3385E,1,594.0,647.0,53.0
anon_S3780E,1,585.0,661.0,76.0
anon_S1439E,0,-1,-1,na
anon_S962E,0,590.0,590.0,0.0
anon_S3526E,0,658.0,658.0,0.0
anon_S63E,2,496.0,1005.74,509.74
anon_S395E,0,584.0,584.0,0.0
anon_S348E,0,579.0,579.0,0.0
anon_S3413E,2,553.0,808.34,255.34
anon_S4092E,1,533.0,783.81,250.81
anon_S5654E,0,502.0,502.0,0.0
